"","gene_id","gene_symbol"
"1","ENSG00000000003.15","TSPAN6"
"2","ENSG00000000005.6","TNMD"
"3","ENSG00000000419.14","DPM1"
"4","ENSG00000000457.14","SCYL3"
"5","ENSG00000000460.17","C1orf112"
"6","ENSG00000000938.13","FGR"
"7","ENSG00000000971.16","CFH"
"8","ENSG00000001036.14","FUCA2"
"9","ENSG00000001084.13","GCLC"
"10","ENSG00000001167.15","NFYA"
"11","ENSG00000001460.18","STPG1"
"12","ENSG00000001461.17","NIPAL3"
"13","ENSG00000001497.18","LAS1L"
"14","ENSG00000001561.7","ENPP4"
"15","ENSG00000001617.12","SEMA3F"
"16","ENSG00000001626.16","CFTR"
"17","ENSG00000001629.10","ANKIB1"
"18","ENSG00000001630.17","CYP51A1"
"19","ENSG00000001631.16","KRIT1"
"20","ENSG00000002016.18","RAD52"
"21","ENSG00000002079.14","MYH16"
"22","ENSG00000002330.14","BAD"
"23","ENSG00000002549.13","LAP3"
"24","ENSG00000002586.20","CD99"
"25","ENSG00000002586.20_PAR_Y","CD99"
"26","ENSG00000002587.10","HS3ST1"
"27","ENSG00000002726.21","AOC1"
"28","ENSG00000002745.13","WNT16"
"29","ENSG00000002746.15","HECW1"
"30","ENSG00000002822.16","MAD1L1"
"31","ENSG00000002834.18","LASP1"
"32","ENSG00000002919.15","SNX11"
"33","ENSG00000002933.9","TMEM176A"
"34","ENSG00000003056.8","M6PR"
"35","ENSG00000003096.14","KLHL13"
"36","ENSG00000003137.9","CYP26B1"
"37","ENSG00000003147.19","ICA1"
"38","ENSG00000003249.15","DBNDD1"
"39","ENSG00000003393.16","ALS2"
"40","ENSG00000003400.15","CASP10"
"41","ENSG00000003402.20","CFLAR"
"42","ENSG00000003436.16","TFPI"
"43","ENSG00000003509.16","NDUFAF7"
"44","ENSG00000003756.17","RBM5"
"45","ENSG00000003987.14","MTMR7"
"46","ENSG00000003989.18","SLC7A2"
"47","ENSG00000004059.11","ARF5"
"48","ENSG00000004139.14","SARM1"
